date,value
2016-05-09,6933
2016-05-10,7956
2016-05-11,10401
2016-05-12,11758
2016-05-13,9014
2016-05-14,7373
2016-05-15,8199
2016-05-16,7868
2016-05-17,8290
2016-05-18,10960
2016-05-19,10434
2016-05-20,9443
2016-05-21,8509
2016-05-22,5365
2016-05-23,6032
2016-05-24,8851
2016-05-25,10057
2016-05-26,11862
2016-05-27,9649
2016-05-28,7500
2016-05-29,9386
2016-05-30,8171
2016-05-31,10117
2016-06-01,10277
2016-06-02,11632
2016-06-03,11293
2016-06-04,8383
2016-06-05,8914
2016-06-06,8409
2016-06-07,10367
2016-06-08,11705
2016-06-09,14629
2016-06-10,11764
2016-06-11,9066
2016-06-12,9946
2016-06-13,8369
2016-06-14,11442
2016-06-15,10916
2016-06-16,12012
2016-06-17,12532
2016-06-18,11414
2016-06-19,9840
2016-06-20,10013
2016-06-21,11465
2016-06-22,11923
2016-06-23,13139
2016-06-24,12387
2016-06-25,12238
2016-06-26,10510
2016-06-27,8857
2016-06-28,12574
2016-06-29,13493
2016-06-30,13651
2016-07-01,13920
2016-07-02,12665
2016-07-03,11543
2016-07-04,10218
2016-07-05,12369
2016-07-06,14630
2016-07-07,15716
2016-07-08,13233
2016-07-09,11843
2016-07-10,9892
2016-07-11,10238
2016-07-12,13860
2016-07-13,16015
2016-07-14,15019
2016-07-15,15057
2016-07-16,12723
2016-07-17,10676
2016-07-18,12110
2016-07-19,14889
2016-07-20,14917
2016-07-21,16940
2016-07-22,11709
2016-07-23,13449
2016-07-24,11664
2016-07-25,11695
2016-07-26,13679
2016-07-27,13191
2016-07-28,15372
2016-07-29,14892
2016-07-30,14301
2016-07-31,11245
2016-08-01,11361
2016-08-02,13251
2016-08-03,16250
2016-08-04,16066
2016-08-05,14140
2016-08-06,13461
2016-08-07,11974
2016-08-08,13242
2016-08-09,13144
2016-08-10,15090
2016-08-11,15418
2016-08-12,13269
2016-08-13,13296
2016-08-14,12180
2016-08-15,12310
2016-08-16,13633
2016-08-17,14013
2016-08-18,15390
2016-08-19,14380
2016-08-20,12177
2016-08-21,11728
2016-08-22,12669
2016-08-23,15703
2016-08-24,15542
2016-08-25,15997
2016-08-26,14567
2016-08-27,10970
2016-08-28,11761
2016-08-29,12214
2016-08-30,16159
2016-08-31,15045
2016-09-01,15901
2016-09-02,14457
2016-09-03,11560
2016-09-04,12761
2016-09-05,12727
2016-09-06,14299
2016-09-07,14130
2016-09-08,16795
2016-09-09,12874
2016-09-10,13091
2016-09-11,13575
2016-09-12,10742
2016-09-13,12690
2016-09-14,14878
2016-09-15,14619
2016-09-16,12447
2016-09-17,12286
2016-09-18,10027
2016-09-19,11903
2016-09-20,12026
2016-09-21,16010
2016-09-22,14013
2016-09-23,13341
2016-09-24,12688
2016-09-25,9509
2016-09-26,11299
2016-09-27,13887
2016-09-28,12480
2016-09-29,14601
2016-09-30,13536
2016-10-01,12264
2016-10-02,9103
2016-10-03,9345
2016-10-04,12690
2016-10-05,13966
2016-10-06,14242
2016-10-07,13192
2016-10-08,10366
2016-10-09,10130
2016-10-10,10511
2016-10-11,11000
2016-10-12,15076
2016-10-13,14002
2016-10-14,11186
2016-10-15,11229
2016-10-16,8446
2016-10-17,10523
2016-10-18,12387
2016-10-19,11900
2016-10-20,13998
2016-10-21,12292
2016-10-22,10893
2016-10-23,10812
2016-10-24,8982
2016-10-25,9963
2016-10-26,11317
2016-10-27,11702
2016-10-28,11283
2016-10-29,9890
2016-10-30,8668
2016-10-31,9529
2016-11-01,10202
2016-11-02,13130
2016-11-03,11721
2016-11-04,13548
2016-11-05,9641
2016-11-06,6999
2016-11-07,7095
2016-11-08,10135
2016-11-09,10916
2016-11-10,12163
2016-11-11,10763
2016-11-12,8405
2016-11-13,6473
2016-11-14,6114
2016-11-15,8670
2016-11-16,11461
2016-11-17,11129
2016-11-18,8511
2016-11-19,8119
2016-11-20,7174
2016-11-21,6217
2016-11-22,8744
2016-11-23,10138
2016-11-24,9249
2016-11-25,9595
2016-11-26,7989
2016-11-27,7357
2016-11-28,7642
2016-11-29,6703
2016-11-30,8636
2016-12-01,10405
2016-12-02,9252
2016-12-03,7448
2016-12-04,9636
2016-12-05,6672
2016-12-06,8733
2016-12-07,10049
2016-12-08,10067
2016-12-09,7953
2016-12-10,7228
2016-12-11,4551
2016-12-12,5410
2016-12-13,6663
2016-12-14,8733
2016-12-15,11292
2016-12-16,5969
2016-12-17,6729
2016-12-18,3290
2016-12-19,4761
2016-12-20,7830
2016-12-21,8315
2016-12-22,7505
2016-12-23,6733
2016-12-24,6341
2016-12-25,3799
2016-12-26,5083
2016-12-27,6427
2016-12-28,7247
2016-12-29,10383
2016-12-30,7746
2016-12-31,3308
2017-01-01,4395
2017-01-02,3891
2017-01-03,6929
2017-01-04,6809
2017-01-05,7835
2017-01-06,7337
2017-01-07,5927
2017-01-08,2745
2017-01-09,3964
2017-01-10,5356
2017-01-11,6712
2017-01-12,9488
2017-01-13,7018
2017-01-14,3591
2017-01-15,4663
2017-01-16,6231
2017-01-17,6683
2017-01-18,5674
2017-01-19,7077
2017-01-20,7728
2017-01-21,4002
2017-01-22,4056
2017-01-23,4760
2017-01-24,4610
2017-01-25,7031
2017-01-26,4226
2017-01-27,5353
2017-01-28,4383
2017-01-29,2301
2017-01-30,5565
2017-01-31,4064
2017-02-01,6617
2017-02-02,7575
2017-02-03,7807
2017-02-04,3198
2017-02-05,4721
2017-02-06,3961
2017-02-07,4541
2017-02-08,7559
2017-02-09,7693
2017-02-10,5825
2017-02-11,4774
2017-02-12,3253
2017-02-13,4155
2017-02-14,6286
2017-02-15,8794
2017-02-16,6378
2017-02-17,8691
2017-02-18,2895
2017-02-19,3639
2017-02-20,4793
2017-02-21,6078
2017-02-22,6769
2017-02-23,7602
2017-02-24,6268
2017-02-25,4471
2017-02-26,4864
2017-02-27,4795
2017-02-28,5348
2017-03-01,8545
2017-03-02,8380
2017-03-03,7847
2017-03-04,5973
2017-03-05,3478
2017-03-06,4180
2017-03-07,7099
2017-03-08,8576
2017-03-09,8382
2017-03-10,7490
2017-03-11,6969
2017-03-12,4073
2017-03-13,5654
2017-03-14,6525
2017-03-15,8132
2017-03-16,9895
2017-03-17,8600
2017-03-18,6915
2017-03-19,6388
2017-03-20,5554
2017-03-21,7844
2017-03-22,8483
2017-03-23,9571
2017-03-24,8103
2017-03-25,6665
2017-03-26,6152
